Year,Location,OFL,ABC,TAC,Catch
2005,W,,727,727,26
2005,C,,2463,2463,811
2005,E,,809,809,65
2005,GOA-wide,5332,3999,3999,903
2006,W,,695,695,72
2006,C,,2250,2250,1272
2006,E,,599,599,344
2006,GOA-wide,4726,3544,3544,1688
2007,W,,695,695,69
2007,C,,2250,2250,1518
2007,E,,599,599,8
2007,GOA-wide,4726,3544,3544,1594
2008,W,,632,632,132
2008,C,,2065,2065,1241
2008,E,,633,633,45
2008,GOA-wide,4398,3330,3330,1418
2009,W,,632,632,79
2009,C,,2065,2065,1903
2009,E,,633,633,100
2009,GOA-wide,4398,3330,3330,2082
2010,W,,598,598,148
2010,C,,2049,2049,2236
2010,E,,681,681,149
2010,GOA-wide,4438,3328,3328,2533
2011,W,,598,598,110
2011,C,,2049,2049,2109
2011,E,,681,681,90
2011,GOA-wide,4438,3328,3328,2309
2012,W,,469,469,66
2012,C,,1793,1793,1902
2012,E,,1505,1505,38
2012,GOA-wide,5023,3767,3767,2005
2013,W,,469,469,121
2013,C,,1793,1793,2321
2013,E,,1505,1505,91
2013,GOA-wide,5023,3767,3767,2533
2014,W,,589,589,159
2014,C,,1532,1532,1396
2014,E,,1641,1641,99
2014,GOA-wide,5016,3762,3762,1654
2015,W,,731,731,236
2015,C,,1257,1257,1211
2015,E,,1267,1267,56
2015,GOA-wide,5016,3255,3255,1503
2016,W,,908,908,167
2016,C,,1850,1850,1854
2016,E,,1056,1056,50
2016,GOA-wide,5086,3814,3814,2071
2017,W,,908,908,194
2017,C,,1850,1850,1453
2017,E,,1056,1056,84
2017,GOA-wide,5086,3814,3814,1730
2018,W,,504,504,303
2018,C,,1774,1774,929
2018,E,,570,570,78
2018,GOA-wide,3797,2848,2848,1310
2019,W,,504,504,132
2019,C,,1774,1774,1117
2019,E,,570,570,102
2019,GOA-wide,3797,2848,2848,1351
2020,W,,758,758,31
2020,C,,1560,1560,811
2020,E,,890,890,180
2020,GOA-wide,4278,3208,3208,1023
2021,W,,758,758,126
2021,C,,1560,1560,429
2021,E,,890,890,189
2021,GOA-wide,4278,3208,3208,744
2022,W,,591,591,164
2022,C,,1482,1482,766
2022,E,,794,794,100
2022,GOA-wide,3822,2867,2867,1031
2023,W,,591,591,47
2023,C,,1482,1482,629
2023,E,,794,794,116
2023,GOA-wide,3822,2867,2867,792
