"year","obs_W","obs_cv_W","W_bio","W_lci","W_uci","obs_C","obs_cv_C","C_bio","C_lci","C_uci","obs_E","obs_cv_E","E_bio","E_lci","E_uci"
1990,1045,0.714620601105299,501.88206529833,210.356031138516,1197.4251753317,8707.8,0.287855736875636,12055.7077658535,7997.82275147189,18172.4569613541,2242.2,0.258532669398876,2642.43087224344,1717.32476398844,4065.88262220637
1991,NA,NA,455.618783039339,184.923684988291,1122.56293979537,NA,NA,12878.2402793789,8880.56034435974,18675.518915735,NA,NA,2933.37890020191,1893.23082191401,4544.98821408929
1992,NA,NA,413.204956210674,153.03467191495,1115.68400611826,NA,NA,13743.0869662597,9986.27917537359,18913.1943985644,NA,NA,3253.09429457602,2179.29386258134,4855.98691902343
1993,105.4,0.71613938938451,374.404230737855,120.956172502391,1158.92000461269,14158.2,0.146205297390376,14652.8933567343,11472.2789192193,18715.3123834999,3538.9,0.189153697941128,3604.42890172867,2661.53855751082,4881.35243089151
1994,NA,NA,413.186276083239,142.914069072397,1194.58426907606,NA,NA,16241.4608329059,12406.5891097636,21261.6898692347,NA,NA,4156.91301350483,2871.95226165955,6016.78726785681
1995,NA,NA,455.869954021494,171.943023359277,1208.64115867803,NA,NA,17997.688467147,13792.804571285,23484.4761619282,NA,NA,4792.86670122822,3329.2146811966,6899.99697090299
1996,277.9,0.64162792217158,502.8325312795,211.808104563953,1193.72464539763,20327.9,0.168252420177121,19938.6471480642,15781.5702673904,25190.7537310447,5619.9,0.180605389031626,5524.67940678428,4162.8900645835,7331.94537309984
1997,NA,NA,618.54963549655,293.201392405043,1304.91758048805,NA,NA,21915.7037118171,16709.6683565537,28743.7224327542,NA,NA,6251.7793816112,4356.09577939212,8972.42563426673
1998,NA,NA,760.607674286143,381.26828290651,1517.36732406045,NA,NA,24079.6468006344,18226.1857714366,31812.985849842,NA,NA,7071.8846105024,4931.86046644148,10140.5042345705
1999,1747.3,0.521781852624238,934.911088606163,458.877635830216,1904.77520661339,29872.1,0.175018780012701,26446.5036598413,20427.2334455606,34239.4655494575,7713.9,0.173194046077015,7996.31967565345,6045.71048456249,10576.2802434079
2000,NA,NA,949.557677508417,460.216017642597,1959.20991088886,NA,NA,26563.3503814309,20020.4251392103,35244.585396177,NA,NA,8796.51651730954,6039.02473439646,12813.1124217084
2001,NA,NA,962.979256702909,476.145014825961,1947.57693552465,NA,NA,26640.4760384991,20126.7758154494,35262.2282905871,NA,NA,9662.19595464647,6466.32573543002,14437.5700336999
