"","X2023.1","X2024","2024","2025"
"M","0.1","0.1","0.1","0.1"
"Tier","5","5","5","5"
"W_bio_pred","7882","7882","9934","9934"
"C_bio_pred","19756","19756","23326","23326"
"E_bio_pred","10581","10581","4545","4545"
"total_GOA_bio","38220","38220","37804","37804"
"F_OFL","0.1","0.1","0.1","0.1"
"max_F_ABC","0.075","0.075","0.075","0.075"
"F_ABC","0.075","0.075","0.075","0.075"
"OFL","3822","3822","3780","3780"
"W_max_ABC","591","591","745","745"
"C_max_ABC","1482","1482","1749","1749"
"E_max_ABC","794","794","341","341"
"W_r_ABC","591","591","745","745"
"C_r_ABC","1482","1482","1749","1749"
"E_r_ABC","794","794","341","341"
"blank",NA,NA,NA,NA
"Status","2021","2022","2022","2023"
"Overfishing?","No","n/a","No","n/a"
