"","model_name","strata","variable","year","log_pred","sd_log_pred","pred","pred_lci","pred_uci","obs","obs_cv","log_obs","sd_log_obs","obs_lci","obs_uci"
"1","longnose_skate_all","CGOA","biomass_pred",1990,9.43797981610211,0.209371873842324,12556.32518126,8329.99790779252,18926.931771502,8707.8,0.287855736875636,9.07197445470437,0.282146315889197,5008.9311960134,15138.1158719748
"2","longnose_skate_all","CGOA","biomass_pred",1991,9.49687487838741,0.189629811334123,13318.0412288207,9183.90043879828,19313.1691000537,NA,NA,NA,NA,NA,NA
"3","longnose_skate_all","CGOA","biomass_pred",1992,9.55576994067271,0.162920338382032,14125.9659663234,10264.5546692235,19439.9972441107,NA,NA,NA,NA,NA,NA
"4","longnose_skate_all","CGOA","biomass_pred",1993,9.614665002958,0.124849090873534,14982.902594558,11730.7078059858,19136.728479714,14158.2,0.146205297390376,9.55804924052338,0.145432895213295,10646.7078761288,18827.8507846959
"5","longnose_skate_all","CGOA","biomass_pred",1994,9.70784886365641,0.13741814905857,16446.1858100227,12563.0373834611,21529.5887007284,NA,NA,NA,NA,NA,NA
"6","longnose_skate_all","CGOA","biomass_pred",1995,9.80103272435481,0.135763409618913,18052.3784354063,13834.7847133357,23555.7237736407,NA,NA,NA,NA,NA,NA
"7","longnose_skate_all","CGOA","biomass_pred",1996,9.89421658505321,0.119294436559113,19815.4375087091,15684.1164138105,25034.981461615,20327.9,0.168252420177121,9.9197496056648,0.167079579269346,14651.2311395662,28204.0133333283
"8","longnose_skate_all","CGOA","biomass_pred",1997,9.97568400621019,0.138375484140468,21497.3296958701,16390.7600090329,28194.8600185872,NA,NA,NA,NA,NA,NA
"9","longnose_skate_all","CGOA","biomass_pred",1998,10.0571514273672,0.142095721378812,23321.9773143958,17652.7866033201,30811.8280742652,NA,NA,NA,NA,NA,NA
"10","longnose_skate_all","CGOA","biomass_pred",1999,10.1386188485241,0.131762744594684,25301.4971416511,19542.92514233,32756.9057828697,29872.1,0.175018780012701,10.3046802133924,0.173700294592016,21252.5866550465,41987.4706497485
"11","longnose_skate_all","CGOA","biomass_pred",2000,10.1495832531463,0.144275230176302,25580.4394173576,19279.7190919634,33940.2704813198,NA,NA,NA,NA,NA,NA
"12","longnose_skate_all","CGOA","biomass_pred",2001,10.1605476577684,0.143051355171838,25862.4569574542,19539.086098352,34232.2397531472,NA,NA,NA,NA,NA,NA
"13","longnose_skate_all","CGOA","biomass_pred",2002,10.1715120623905,0.127696771240887,26147.5836659128,20358.0357446898,33583.6001144779,NA,NA,NA,NA,NA,NA
"14","longnose_skate_all","CGOA","biomass_pred",2003,10.1824764670126,0.0913436782102026,26435.8538204875,22102.5031877388,31618.7882106434,25740.8,0.115620231872464,10.1558325606982,0.115236600990692,20536.7855273874,32263.5099712361
"15","longnose_skate_all","CGOA","biomass_pred",2004,10.2191422978736,0.104847998105437,27423.1355125068,22329.0544093151,33679.3644527814,NA,NA,NA,NA,NA,NA
"16","longnose_skate_all","CGOA","biomass_pred",2005,10.2558081287346,0.0793186794107713,28447.2885363929,24351.442665242,33232.0444499935,29853.3,0.0942613585628365,10.3040506654741,0.0940529774541936,24827.5751839304,35896.3577509107
"17","longnose_skate_all","CGOA","biomass_pred",2006,10.2226144962774,0.103620277577219,27518.5195802328,22460.7020177113,33715.2827765809,NA,NA,NA,NA,NA,NA
"18","longnose_skate_all","CGOA","biomass_pred",2007,10.1894208638201,0.0883300052134636,26620.0737873094,22388.3773492545,31651.616255494,26082.9,0.121438970344209,10.1690352061778,0.120994783782674,20576.1884895573,33063.347604697
