"year","obs_W","obs_cv_W","W_bio","W_lci","W_uci","obs_C","obs_cv_C","C_bio","C_lci","C_uci","obs_E","obs_cv_E","E_bio","E_lci","E_uci"
1990,1744.5,0.467539658638805,2644.00098749831,1258.42704171748,5555.14224515643,9070.8,0.350704765103196,18769.7171628901,10310.0361502856,34170.8096110926,11500.8,0.391593871711493,13409.4600354767,6963.11400462672,25823.7360933006
1991,NA,NA,2871.2622281749,1363.62772004961,6045.74596257397,NA,NA,20031.9238053723,12134.2517762464,33069.8570248697,NA,NA,13219.6561916374,6021.03988974732,29024.771970483
1992,NA,NA,3113.18921455435,1565.80668665757,6189.74690056173,NA,NA,21345.6313915725,14311.5456400531,31836.9511556959,NA,NA,13012.191472697,5999.86867720446,28220.1388116079
1993,2311.6,0.331586265740741,3370.34321803891,1940.42066299045,5853.99528258722,21585.5,0.18520318012062,22710.7409840318,16980.8547559341,30374.0750072394,15835.5,0.36825066895729,12788.4138694971,6949.75574352689,23532.2701017044
1994,NA,NA,4837.93647580774,2613.84100084957,8954.49621317574,NA,NA,25492.114159465,18604.8079044747,34929.0295097805,NA,NA,9850.43132011102,4723.07723424505,20544.0208533312
1995,NA,NA,6685.37559775759,3554.77705829033,12573.0098259913,NA,NA,27546.0938752929,20190.8411345319,37580.7665827608,NA,NA,7304.21300976167,3546.53708696793,15043.2735887683
1996,13129.5,0.417813113440114,8929.77038008767,4882.25139812489,16332.7925046459,26543.6,0.19396137986073,28771.5342426973,21822.0333278362,37934.1911105397,3390.7,0.297870034795586,5235.28636257613,2981.6395844944,9192.33278250941
1997,NA,NA,9254.97576015735,4837.10820939653,17707.8065267815,NA,NA,29016.0720108876,20992.2048733745,40106.9082556869,NA,NA,6092.32117872331,2949.91596753321,12582.1812394738
1998,NA,NA,9569.72533344842,5213.60472269829,17565.513273175,NA,NA,29194.6593961554,20816.684405693,40944.4713022804,NA,NA,7073.17385170685,3434.79256641095,14565.5923521303
1999,11037.8,0.267057465654023,9870.01852724826,6254.50029407808,15575.547389527,34007,0.198763302248311,29299.6554194132,21180.6694476554,40530.8156013633,9605.6,0.335116814333642,8191.06141755525,4718.03992175729,14220.6272644621
2000,NA,NA,9708.11004505234,5327.85588496783,17689.5551759871,NA,NA,29228.6411821208,20355.600904466,41969.4544691988,NA,NA,8396.60692902239,3863.96447440353,18246.2878185209
