Year,Location,OFL,ABC,TAC,Catch
2005,W,,66,66,37
2005,C,,1972,1972,993
2005,E,,780,780,162
2005,GOA-wide,3757,2818,2818,1192
2006,W,,65,65,57
2006,C,,1969,1969,682
2006,E,,861,861,219
2006,GOA-wide,3860,2895,2895,957
2007,W,,65,65,76
2007,C,,1969,1969,978
2007,E,,861,861,342
2007,GOA-wide,3860,2895,2895,1396
2008,W,,78,78,34
2008,C,,2041,2041,965
2008,E,,768,768,113
2008,GOA-wide,3849,2887,2887,1112
2009,W,,78,78,79
2009,C,,2041,2041,1096
2009,E,,768,768,244
2009,GOA-wide,3849,2887,2887,1419
2010,W,,81,81,106
2010,C,,2009,2009,868
2010,E,,762,762,131
2010,GOA-wide,3803,2852,2852,1106
2011,W,,81,81,70
2011,C,,2009,2009,898
2011,E,,762,762,74
2011,GOA-wide,3803,2852,2852,1042
2012,W,,70,70,39
2012,C,,1879,1879,802
2012,E,,676,676,93
2012,GOA-wide,3500,2625,2625,934
2013,W,,70,70,86
2013,C,,1879,1879,1267
2013,E,,676,676,443
2013,GOA-wide,3500,2625,2625,1797
2014,W,,107,107,59
2014,C,,1935,1935,1159
2014,E,,834,834,336
2014,GOA-wide,3835,2876,2876,1554
2015,W,,152,152,137
2015,C,,2090,2090,1173
2015,E,,976,976,349
2015,GOA-wide,3835,3218,3218,1660
2016,W,,61,61,155
2016,C,,2513,2513,889
2016,E,,632,632,348
2016,GOA-wide,4274,3206,3206,1391
2017,W,,61,61,189
2017,C,,2513,2513,766
2017,E,,632,632,316
2017,GOA-wide,4274,3206,3206,1271
2018,W,,149,149,57
2018,C,,2804,2804,593
2018,E,,619,619,233
2018,GOA-wide,4763,3572,3572,882
2019,W,,149,149,60
2019,C,,2804,2804,630
2019,E,,619,619,315
2019,GOA-wide,4763,3572,3572,1005
2020,W,,158,158,21
2020,C,,1875,1875,363
2020,E,,554,554,265
2020,GOA-wide,3449,2587,2587,648
2021,W,,158,158,40
2021,C,,1875,1875,522
2021,E,,554,554,470
2021,GOA-wide,3449,2587,2587,1032
2022,W,,151,151,68
2022,C,,2044,2044,517
2022,E,,517,517,413
2022,GOA-wide,3616,2712,2712,998
2023,W,,151,151,59
2023,C,,2044,2044,389
2023,E,,517,517,607
2023,GOA-wide,3616,2712,2712,1055
