year,W_ABC,C_ABC,E_ABC,tot_ABC,W_TAC,C_TAC ,E_TAC,tot_TAC,OFL
2005,727,2463,809,3999,727,2463,809,3999,5332
2006,695,2250,599,3544,695,2250,599,3544,4726
2007,695,2250,599,3544,695,2250,599,3544,4726
2008,632,2065,633,3330,632,2065,633,3330,4398
2009,632,2065,633,3330,632,2065,633,3330,4398
2010,598,2049,681,3328,598,2049,681,3328,4438
2011,598,2049,681,3328,598,2049,681,3328,4438
2012,469,1793,1505,3767,469,1793,1505,3767,5023
2013,469,1793,1505,3767,469,1793,1505,3767,5023
2014,589,1532,1641,3762,589,1532,1641,3762,5016
2015,731,1257,1267,3255,731,1257,1267,3255,5016
2016,908,1850,1056,3814,908,1850,1056,3814,5086
2017,908,1850,1056,3814,908,1850,1056,3814,5086
2018,504,1774,570,2848,504,1774,570,2848,3797
2019,504,1774,570,2848,504,1774,570,2848,3797
2020,758,1560,890,3208,758,1560,890,3208,4278
2021,758,1560,890,3208,758,1560,890,3208,4278
2022,591,1482,794,2867,591,1482,794,2867,3822
2023,591,1482,794,2867,591,1482,794,2867,3822
