Expanded Fishery Code,Fishery Name,Mgmt Program Code,Mgmt Program Name,ADFG Region Code,Port Name,Gear Code,Species Code,Species Name,Stat Area,DOL Month,DOL Year,Date of Landing,Port,Gear Name,Disposition Code,Disposition Name,Delivery Condition Code,Delivery Condition Name,Whole Weight (lbs),Discard at Sea,Region,Mgt Area District,Management Area Desc,Waters,NMFS Area
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1986,1/16/1986,COR,Non-pelagic/bottom trawl,,,02,Whole bait,300,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,11,1986,11/4/1986,COR,Longline,,,13,Wings,1150,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",486005,12,1986,12/1/1986,VAL,Longline,,,05,Headed & gutted,13,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",475933,12,1986,12/20/1986,COR,Longline,,,02,Whole bait,103,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1987,1/24/1987,COR,Non-pelagic/bottom trawl,,,02,Whole bait,100,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1987,1/26/1987,COR,Non-pelagic/bottom trawl,,,02,Whole bait,140,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1987,1/26/1987,COR,Non-pelagic/bottom trawl,,,02,Whole bait,1000,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1987,1/29/1987,COR,Non-pelagic/bottom trawl,,,02,Whole bait,100,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,3,1987,3/10/1987,COR,Longline,,,01,Whole fish/food fish,832,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",475933,3,1987,3/15/1987,COR,Longline,,,13,Wings,2250,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,3,1987,3/21/1987,COR,Longline,,,13,Wings,388,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",476006,4,1987,4/24/1987,VAL,Longline,,,01,Whole fish/food fish,479,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",485932,4,1987,4/25/1987,VAL,Longline,,,01,Whole fish/food fish,365,No,2,PWSI,Prince William Sound,STATE,649
,,-1,,2,Valdez,61,700,"skate, other",466032,5,1987,5/5/1987,VAL,Longline,,,05,Headed & gutted,40,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",466033,5,1987,5/6/1987,VAL,Longline,,,01,Whole fish/food fish,150,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",476034,5,1987,5/6/1987,VAL,Longline,,,01,Whole fish/food fish,60,No,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Valdez,06,700,"skate, other",466033,5,1987,5/18/1987,VAL,Longline,,,01,Whole fish/food fish,163,No,2,PWSI,Prince William Sound,STATE,649
