Expanded Fishery Code,Fishery Name,Mgmt Program Code,Mgmt Program Name,ADFG Region Code,Port Name,Gear Code,Species Code,Species Name,Stat Area,DOL Month,DOL Year,Date of Landing,Port,Gear Name,Disposition Code,Disposition Name,Delivery Condition Code,Delivery Condition Name,Whole Weight (lbs),Discard at Sea,Region,Mgt Area District,Management Area Desc,Waters,NMFS Area
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",466033,5,1987,5/18/1987,VAL,Longline,,,01,Whole fish/food fish,28,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",485932,5,1987,5/21/1987,VAL,Longline,,,01,Whole fish/food fish,215,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",475933,5,1987,5/26/1987,VAL,Longline,,,01,Whole fish/food fish,505,No,2,PWSI,Prince William Sound,STATE,649
B 61B,"HALIBUT, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Valdez,61,700,"skate, other",476003,6,1987,6/3/1987,VAL,Longline,,,13,Wings,1509,No,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Valdez,61,700,"skate, other",476032,7,1987,7/1/1987,VAL,Longline,,,01,Whole fish/food fish,58,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",466033,8,1987,8/21/1987,VAL,Longline,,,01,Whole fish/food fish,225,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1988,1/4/1988,COR,Non-pelagic/bottom trawl,,,02,Whole bait,400,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,1,1988,1/4/1988,COR,Longline,,,02,Whole bait,1800,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,1,1988,1/4/1988,COR,Longline,,,02,Whole bait,2870,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",476003,1,1988,1/4/1988,COR,Longline,,,02,Whole bait,2000,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466003,1,1988,1/8/1988,COR,Longline,,,02,Whole bait,965,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1988,1/9/1988,COR,Non-pelagic/bottom trawl,,,02,Whole bait,300,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1988,1/14/1988,COR,Non-pelagic/bottom trawl,,,02,Whole bait,100,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",476003,1,1988,1/14/1988,COR,Longline,,,02,Whole bait,1200,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",475933,1,1988,1/17/1988,SEW,Longline,,,02,Whole bait,2035,No,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,2,Cordova,07,700,"skate, other",456031,1,1988,1/20/1988,COR,Non-pelagic/bottom trawl,,,02,Whole bait,100,No,2,PWSI,Prince William Sound,STATE,649
B 61B,"HALIBUT, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Whittier,61,700,"skate, other",476032,9,1989,9/27/1989,WHT,Longline,,,01,Whole fish/food fish,614,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/7/1991,SEW,Longline,,,98,Discarded at sea,15,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/7/1991,SEW,Longline,,,98,Discarded at sea,20,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/8/1991,SEW,Longline,,,98,Discarded at sea,30,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/8/1991,SEW,Longline,,,98,Discarded at sea,1000,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/14/1991,SEW,Longline,,,98,Discarded at sea,500,Yes,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",485932,3,1991,3/16/1991,SEW,Longline,,,98,Discarded at sea,200,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/16/1991,SEW,Longline,,,98,Discarded at sea,1000,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/16/1991,SEW,Longline,,,98,Discarded at sea,200,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1991,3/29/1991,SEW,Longline,,,98,Discarded at sea,600,Yes,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",485932,4,1991,4/3/1991,SEW,Longline,,,98,Discarded at sea,100,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1991,4/3/1991,SEW,Longline,,,98,Discarded at sea,40,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1991,4/5/1991,SEW,Longline,,,98,Discarded at sea,200,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1991,4/18/1991,SEW,Longline,,,98,Discarded at sea,25,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1991,4/24/1991,SEW,Longline,,,98,Discarded at sea,20,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",485932,5,1991,5/21/1991,SEW,Longline,,,98,Discarded at sea,40,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1991,5/30/1991,SEW,Longline,,,98,Discarded at sea,1000,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476034,6,1991,6/14/1991,SEW,Longline,,,98,Discarded at sea,2000,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,6,1991,6/19/1991,SEW,Longline,,,98,Discarded at sea,500,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",475933,6,1991,6/22/1991,SEW,Longline,,,98,Discarded at sea,200,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",475933,6,1991,6/22/1991,SEW,Longline,,,98,Discarded at sea,1500,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",475933,6,1991,6/22/1991,SEW,Longline,,,98,Discarded at sea,200,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",475933,6,1991,6/22/1991,SEW,Longline,,,98,Discarded at sea,1500,Yes,2,PWSI,Prince William Sound,STATE,649
,,-1,,2,Cordova,04,700,"skate, other",476008,1,1992,1/11/1992,COR,Set gillnet,,,98,Discarded at sea,60,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,1,1992,1/31/1992,SEW,Longline,,,98,Discarded at sea,120,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",485932,3,1992,3/10/1992,VAL,Longline,,,98,Discarded at sea,2000,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/14/1992,SEW,Longline,,,98,Discarded at sea,3975,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/14/1992,SEW,Longline,,,98,Discarded at sea,400,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/20/1992,SEW,Longline,,,98,Discarded at sea,300,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/20/1992,SEW,Longline,,,98,Discarded at sea,250,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/21/1992,SEW,Longline,,,98,Discarded at sea,4,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Valdez,61,700,"skate, other",476032,3,1992,3/22/1992,VAL,Longline,,,98,Discarded at sea,40,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/28/1992,SEW,Longline,,,98,Discarded at sea,925,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/28/1992,SEW,Longline,,,98,Discarded at sea,30,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1992,3/28/1992,SEW,Longline,,,98,Discarded at sea,4125,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",486001,3,1992,3/28/1992,SEW,Longline,,,98,Discarded at sea,60,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1992,4/3/1992,SEW,Longline,,,98,Discarded at sea,525,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,4,1992,4/4/1992,SEW,Longline,,,98,Discarded at sea,225,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1992,5/19/1992,SEW,Longline,,,98,Discarded at sea,800,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",485932,5,1992,5/21/1992,SEW,Longline,,,99,Landed discarded,7,No,2,PWSI,Prince William Sound,STATE,649
C 06B,"SABLEFISH, LONGLINE VL UNDER 60', STATEWIDE",-1,,2,Seward,06,700,"skate, other",476005,5,1992,5/22/1992,SEW,Longline,,,98,Discarded at sea,95,Yes,2,PWSI,Prince William Sound,STATE,649
C 06B,"SABLEFISH, LONGLINE VL UNDER 60', STATEWIDE",-1,,2,Seward,06,700,"skate, other",476006,5,1992,5/22/1992,SEW,Longline,,,98,Discarded at sea,92,Yes,2,PWSI,Prince William Sound,STATE,649
C 06B,"SABLEFISH, LONGLINE VL UNDER 60', STATEWIDE",-1,,2,Seward,06,700,"skate, other",486005,5,1992,5/22/1992,SEW,Longline,,,98,Discarded at sea,93,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1992,5/26/1992,SEW,Longline,,,98,Discarded at sea,300,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",485932,5,1992,5/30/1992,SEW,Longline,,,99,Landed discarded,11,No,2,PWSI,Prince William Sound,STATE,649
C 06B,"SABLEFISH, LONGLINE VL UNDER 60', STATEWIDE",-1,,2,Seward,06,700,"skate, other",476005,6,1992,6/2/1992,SEW,Longline,,,98,Discarded at sea,45,Yes,2,PWSI,Prince William Sound,STATE,649
C 06B,"SABLEFISH, LONGLINE VL UNDER 60', STATEWIDE",-1,,2,Seward,06,700,"skate, other",486005,6,1992,6/2/1992,SEW,Longline,,,98,Discarded at sea,50,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,6,1992,6/2/1992,SEW,Longline,,,98,Discarded at sea,60,Yes,2,PWSI,Prince William Sound,STATE,649
,,-1,,2,Whittier,07,700,"skate, other",486034,4,1993,4/28/1993,WHT,Non-pelagic/bottom trawl,,,01,Whole fish/food fish,815,No,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1993,5/21/1993,SEW,Longline,,,98,Discarded at sea,500,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1993,5/21/1993,SEW,Longline,,,98,Discarded at sea,250,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,1,1994,1/28/1994,SEW,Longline,,,98,Discarded at sea,100,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",486005,3,1994,3/4/1994,SEW,Longline,,,98,Discarded at sea,300,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1994,3/7/1994,SEW,Longline,,,98,Discarded at sea,1500,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1994,5/27/1994,SEW,Longline,,,98,Discarded at sea,300,Yes,2,PWSI,Prince William Sound,STATE,649
C 61B,"SABLEFISH, LONGLINE VL OVER 60', STATEWIDE",-1,,2,Seward,61,700,"skate, other",476032,5,1994,5/27/1994,SEW,Longline,,,98,Discarded at sea,225,Yes,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",476006,1,1995,1/27/1995,SEW,Longline,,,98,Discarded at sea,380,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476006,1,1995,1/27/1995,SEW,Longline,,,98,Discarded at sea,100,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466031,2,1995,2/1/1995,COR,Longline,,,13,Wings,437.5,No,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",456031,2,1995,2/2/1995,COR,Longline,,,13,Wings,271.88,No,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",476006,2,1995,2/4/1995,SEW,Longline,,,98,Discarded at sea,400,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476006,2,1995,2/10/1995,SEW,Longline,,,98,Discarded at sea,100,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476006,2,1995,2/10/1995,SEW,Longline,,,98,Discarded at sea,50,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476006,2,1995,2/10/1995,SEW,Longline,,,98,Discarded at sea,66,Yes,2,PWSI,Prince William Sound,STATE,649
M 07B,"MISC SALTWATER FINFISH, OTTER TRAWL, STATEWIDE",-1,,4,Kodiak,47,700,"skate, other",486001,2,1995,2/11/1995,KOD,Pelagic/mid-water trawl,,,98,Discarded at sea,30,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,2,1995,2/11/1995,SEW,Longline,,,98,Discarded at sea,19,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,2,1995,2/13/1995,SEW,Longline,,,98,Discarded at sea,40,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476004,2,1995,2/23/1995,SEW,Longline,,,98,Discarded at sea,60,Yes,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",476032,2,1995,2/25/1995,SEW,Longline,,,98,Discarded at sea,195,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,2,1995,2/25/1995,SEW,Longline,,,98,Discarded at sea,780,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476034,2,1995,2/25/1995,SEW,Longline,,,98,Discarded at sea,270,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,2,1995,2/26/1995,SEW,Longline,,,98,Discarded at sea,720,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,2,1995,2/26/1995,SEW,Longline,,,98,Discarded at sea,950,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476004,3,1995,3/2/1995,SEW,Longline,,,98,Discarded at sea,110,Yes,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",485932,3,1995,3/3/1995,SEW,Longline,,,98,Discarded at sea,700,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,3,1995,3/6/1995,SEW,Longline,,,98,Discarded at sea,725,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Cordova,61,700,"skate, other",466031,3,1995,3/8/1995,COR,Longline,,,13,Wings,840.63,No,2,PWSI,Prince William Sound,STATE,649
M 06B,"MISC SALTWATER FINFISH, LONGLINE VL UNDER 60', STW",-1,,2,Seward,06,700,"skate, other",485932,3,1995,3/9/1995,SEW,Longline,,,98,Discarded at sea,350,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,3,1995,3/9/1995,SEW,Longline,,,98,Discarded at sea,140,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",476032,3,1995,3/9/1995,SEW,Longline,,,98,Discarded at sea,290,Yes,2,PWSI,Prince William Sound,STATE,649
M 61B,"MISC SALTWATER FINFISH, LONGLINE VL OVER 60', STW",-1,,2,Seward,61,700,"skate, other",485932,3,1995,3/9/1995,SEW,Longline,,,98,Discarded at sea,500,Yes,2,PWSI,Prince William Sound,STATE,649
