year,ABC,TAC,OFL
2005,1327,1327,1769
2006,1617,1617,2156
2007,1617,1617,2156
2008,2104,2104,2806
2009,2104,2104,2806
2010,2093,2093,2791
2011,2093,2093,2791
2012,2030,2030,2706
2013,2030,2030,2706
2014,1989,1989,2652
2015,2235,2235,2652
2016,1919,1919,2558
2017,1919,1919,2558
2018,1384,1384,1845
2019,1384,1384,1845
2020,875,875,1166
2021,875,875,1166
2022,984,984,1311
2023,984,984,1311
